;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Afghanistan;;;;;;;;;;;;;;
Albania;;;;;;;;;;;;;1;1
Andorra;;;;;;;;;1;2;2;2;1;1
Algeria;;;;;;;;;;;;;;
Angola;;;;;;;;;;;;;;
Antigua and Barbuda;;;;;;;;;;;;;;
Argentina;;;;1;;;1;3;3;5;8;20;38;49
Armenia;;;;;;;;;;;;;;
Australia;;1;7;8;6;11;17;32;41;57;76;90;99;93
Austria;;;;;4;8;9;7;17;17;16;43;44;42
Azerbaijan;;;;;;;;;;;;;;
The Bahamas;;;;;;;;;;;;;;
Bahrain;;;;;;;;;;;;;;1
Bangladesh;;;;;1;;;1;;;;;1;2
Barbados;;;;;;;;;;;;;;
Belarus;;;;;;;;;;;1;1;;
Belgium;;;;;;1;3;6;8;13;17;20;22;28
Belize;;;;;;;;;;;;;;
Benin;;;;;;;;;;;;;;
Bhutan;;;;;;;;;;;;;;
Bolivia;;;;;;;;1;1;2;3;6;4;3
Bosnia and Herzegovina;;;;;;;;;;;;;;
Botswana;;;;;;;;;;;;;;
Brazil;;1;1;5;3;7;13;17;37;70;85;143;142;162
Brunei Darussalam;;;;;;;;;;;;;;
Bulgaria;;;;;;;;;;;;;2;2
Burkina Faso;;;;;;;;;;;;;;
Burundi;;;;;;;;;;;;;;
Cambodia;;;;;;;;1;;;;;;
Cameroon;;;;;;;;;;;;;;
Canada;1;2;6;6;5;13;16;25;26;38;41;67;64;84
Cape Verde;;;;;;;;;;;;;;
Central African Republic;;;;;;;;;;;;;;
Chad;;;;;;;;;;;;;;
Chile;;;;1;1;1;4;18;18;30;37;29;39;23
China;;;;1;;;;3;4;11;41;46;77;88
Colombia;;;;;;;1;3;5;9;20;20;32;75
Comoros;;;;;;;;;;;;;;
Democratic Republic of the Congo;;;;;;;;;;;;;;
Congo;;;;;;;;;;;;;;
Costa Rica;;;1;2;;1;;1;;;;3;2;2
Croatia;;;;;1;1;2;1;1;2;2;3;3;5
Cyprus;;;;;;;;;;;;1;;
Czech Republic;;;;;;;2;2;1;1;1;1;2;2
Denmark;;1;1;4;2;2;2;3;4;6;9;16;17;17
Djibouti;;;;;;;;;;;;;;
Dominica;;;;;;;;;;;;;;
Dominican Republic;;;;;;;;;;;;;;
Ecuador;;;;;;;;1;3;7;11;5;7;11
Egypt;;;;;;;;;;1;1;1;1;1
El Salvador;;;;;;;;;;;;;;
Equatorial Guinea;;;;;;;;;;;;;;
Eritrea;;;;;;;;;;;;;;
Estonia;;;;;;;;;;;;1;1;
Ethiopia;;;;;;;;;;;;;;
Fiji;;;;;;;;;;;;;;
Finland;;;3;1;8;14;15;12;11;17;26;34;38;61
France;;3;3;3;9;11;9;20;18;27;28;33;29;33
Gabon;;;;;;;;;;;;;;
The Gambia;;;;;;;;;;;;;;
Georgia;;;;;;;;;;;;1;1;1
Germany;;1;6;5;6;10;17;16;35;41;49;63;86;101
Ghana;;;;;;;;;;;;;;
Greece;;;;;;2;5;5;7;12;24;30;32;35
Grenada;;;;;;;;;;;;;;
Guatemala;;;;;;;;;;;;;;
Guinea;;;;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;
Guyana;;;;;;;;;;;;;;
Haiti;;;;;;;;;;;;;;
Honduras;;;;;;;;;;;;;2;2
Hong Kong SAR;;;1;2;1;2;2;3;4;6;15;19;24;20
Hungary;;;;3;2;3;3;2;7;9;29;33;27;18
Iceland;;;;;;;;;;;;;;1
India;;;1;3;1;4;5;6;6;23;23;29;45;45
Indonesia;;;;;;;;5;4;8;4;6;9;23
Iran;;;;;;;;;;;;;;
Iraq;;;;;;;;;;;;;;
Ireland;;;2;1;;1;1;2;1;2;2;4;3;4
Israel;;;;;1;;2;;3;5;17;12;11;16
Italy;1;;5;2;7;9;11;17;26;39;44;49;58;63
Jamaica;;;;;;;;;;;;;;
Japan;1;7;23;18;14;20;20;19;25;63;92;119;38;28
Jordan;;;;;;;;;1;1;1;4;5;3
Kazakhstan;;;;;;;;;;;;;1;1
Kenya;;;;;;1;;;2;1;;;1;1
Kiribati;;;;;;;;;;;;;;
South Korea;;;;2;5;13;19;28;48;77;77;90;91;108
Kuwait;;;;;;;;;;;;;1;3
Kyrgyz Republic;;;;;;;;;;;;;;
Lao P.D.R.;;;;;;;;;;;;;;
Latvia;;;;;;;;;;;;1;1;1
Lebanon;;;;;;;;;;;;;;
Lesotho;;;;;;;;;;;;;;
Liberia;;;;;;;;;;;;;;
Liechtenstein;;;;;;;;;;;;;;
Libya;;;;;;;;;;;;;;
Lithuania;;;;;;;;;;;;;;
Luxembourg;;;;;;;1;1;1;2;2;3;4;5
FYR Macedonia;;;;;;;;;;;;;;
Madagascar;;;;;;;;;;;;;;
Malawi;;;;;;;;;;;;;;
Malaysia;;;;2;1;1;;2;1;4;7;10;11;17
Maldives;;;;;;;;;;;;;;
Mali;;;;;;;;;;;;;;
Malta;;;;;;;;;;;;;;
Mauritania;;;;;;;;;;;;;;
Mauritius;;;;;1;1;;;;;;;1;1
Mexico;;;;;;;1;2;5;13;20;37;37;37
Moldova;;;;;;;;;;;;;;
Mongolia;;;;;;;;;1;1;1;1;1;1
Montenegro;;;;;;;;;;;;;;
Morocco;;;;;;;;;;;;;;
Mozambique;;;;;;;;;;;;;;
Myanmar;;;;;;;;;;;;;;
Namibia;;;;;;;;;;;;;;
Nepal;;;;;;;;;;;;;;
Netherlands;1;4;8;6;8;17;25;28;32;42;52;69;85;90
New Zealand;;;2;4;4;5;6;8;8;9;12;11;12;11
Nicaragua;;;;;;;;;;;;;;
Niger;;;;;;;;;;;;;;
Nigeria;;;;;1;1;1;;;1;1;1;1;1
Norway;;;;;1;1;5;7;8;10;14;17;19;20
Oman;;;;;;;;;;;;1;1;5
